date_of_order,title,amount,government_departments,joint_signatures,corporate_number
2019-11-25T00:00:00+09:00,水素社会構築技術開発事業総合調査研究地産地消型水素製造・利活用ポテンシャル調査（オフサイト再エネ電力の自産自消によるＰ２Ｇの事業化可能性調査）,10485200,国立研究開発法人新エネルギー・産業技術総合開発機構,,6180001031731
2018-10-24T00:00:00+09:00,平成３０年度平常時及び緊急時における石油需給動向等調査費事業（石油統計調査のシステム的な観点による集計・分析方法等の見直しに関する調査）,86398488,資源エネルギー庁,,7010001008844
2019-11-28T00:00:00+09:00,水素社会構築技術開発事業総合調査研究地産地消型水素製造・利活用ポテンシャル調査（大阪市における都市型水素利活用モデルの検討）,29990400,国立研究開発法人新エネルギー・産業技術総合開発機構,,7010001088960
2019-10-04T00:00:00+09:00,「気候変動・災害対策Ｂｉｚ　２０１９」への出展に係る会場設営・運営業務,9229000,国立研究開発法人新エネルギー・産業技術総合開発機構,,7010001195294
2018-11-16T00:00:00+09:00,平成３０年度産業保安等技術基準策定研究開発等事業（人生１００年社会における製品安全基盤構築に向けた高齢者等行動データ取得事業）,34177108,経済産業省,,7010005005425
2019-10-17T00:00:00+09:00,戦略的イノベーション創造プログラム（ＳＩＰ）第２期／自動運転（システムとサービスの拡張）自動運転の高度化に則したＨＭⅠ及び安全教育方法に関する調査研究,159891600,国立研究開発法人新エネルギー・産業技術総合開発機構,,7010005005425
2019-11-13T00:00:00+09:00,ＮＥＤＯ先導研究プログラム未踏チャレンジ２０５０ワイヤレス電力伝送システムに資する新たな超電導デバイスの創製,6573600,国立研究開発法人新エネルギー・産業技術総合開発機構,,7010005005425
2018-10-24T00:00:00+09:00,平成３０年度財務情報に基づく中小企業の実態調査に係る委託事業,4748112,中小企業庁,,7010005008535
2019-11-11T00:00:00+09:00,令和元年度経済産業省デジタルプラットフォーム構築事業（補助金申請システムの利用拡大に向けたシステム導入支援及びシステムの在り方検討、調査等業務）,58300000,経済産業省,,7010401001556
2019-10-17T00:00:00+09:00,戦略的イノベーション創造プログラム（ＳＩＰ）第２期／自動運転（システムとサービスの拡張）狭域・中域情報の収集・統合・配信に係る研究開発,75262000,国立研究開発法人新エネルギー・産業技術総合開発機構,,7010401006126
2018-10-31T00:00:00+09:00,平成３０年度小規模企業の決算動向等分析調査,2436386,中小企業庁,,7010401018377
2019-01-09T00:00:00+09:00,経済産業省基盤情報システムサービス（クライアント基盤サービスノート型ＰＣ追加）,17684546,経済産業省,"株式会社ＪＥＣＣ",7010401022916
2019-01-21T00:00:00+09:00,経済産業省基盤情報システムサービス（管理用リモートアクセス機能追加）,11268201,経済産業省,"株式会社ＪＥＣＣ",7010401022916
2018-12-25T00:00:00+09:00,経産省基盤情報システムサービス（テレビ会議機能の強化）,30893179,経済産業省,"株式会社ＪＥＣＣ",7010401022916
2019-03-27T00:00:00+09:00,平成３０年度鉱区情報等のデータ利活用促進事業（鉱業権閲覧システムの開発に係る設計・開発等業務）,280800000,資源エネルギー庁,,7010401022916
2019-10-18T00:00:00+09:00,令和元年度経済産業省デジタルプラットフォーム構築事業（次期経済産業省調査統計システムに係る自動化検討支援）,7700000,経済産業省,,7010601034422
2018-12-28T00:00:00+09:00,平成３０年度省エネルギー促進に向けた広報事業（産業・業務部門情報提供事業）,100440000,資源エネルギー庁,,7011001029649
2019-12-19T00:00:00+09:00,バイオマスエネルギーの地域自立システム化実証事業地域自立システム化実証事業地域バイオマス持ち込みシステムとスマートバイオマスネットワーク事業性評価（ＦＳ）,5060000,国立研究開発法人新エネルギー・産業技術総合開発機構,,8000020343692
2018-12-27T00:00:00+09:00,平成３０年度商取引・サービス環境の適正化に係る事業（スポーツ産業における新たなビジネス展開や国際化に関する調査事業）,16193700,経済産業省,,8010001144647
2019-12-25T00:00:00+09:00,映像システムの増設及び調整,8437000,情報処理推進機構,,8010401123151
2020-01-09T00:00:00+09:00,ネットワーク機器等ライセンス更新の調達その２,101199670,情報処理推進機構,,8010401123151
2020-01-09T00:00:00+09:00,映像機器等保守契約更新の調達,21416286,情報処理推進機構,,8010401123151
2019-04-01T00:00:00+09:00,自動車運行管理請負契約,317520000,経済産業省,,8012401019180
2019-12-26T00:00:00+09:00,エネルギー消費の効率化等に資する我が国技術の国際実証事業スマートコミュニティ実証事業に関する技術の海外展開ポテンシャル調査（２）具体ニーズへの対応が期待できるシステムの海外展開ポテンシャル検討,2165900,国立研究開発法人新エネルギー・産業技術総合開発機構,,8130001001588
2019-12-26T00:00:00+09:00,エネルギー消費の効率化等に資する我が国技術の国際実証事業スマートコミュニティ実証事業に関する技術の海外展開ポテンシャル調査（２）具体ニーズへの対応が期待できるシステムの海外展開ポテンシャル検討,7664800,国立研究開発法人新エネルギー・産業技術総合開発機構,,9010001008776
2019-10-23T00:00:00+09:00,令和元年度内外一体の経済成長戦略構築にかかる国際経済調査事業（【アフリカ】アフリカにおける中堅中小企業のビジネス可能性に関する調査）,8030000,経済産業省,,9010001027685
2018-11-19T00:00:00+09:00,平成３０年度経済産業省デジタルプラットフォーム構築事業（サービスカタログ等公共サービス情報の国際連携に関する調査研究）,18723420,経済産業省,,9010001130423
2018-04-03T00:00:00+09:00,平成３０年度商業動態統計調査に係るデータ作成作業,1305460,経済産業省,,9010001161030
2019-04-01T00:00:00+09:00,経済産業省のＷＥＢサイト及び政策情報に関するメディア分析業務,2354400,経済産業省,,9011001069346
2019-09-09T00:00:00+09:00,令和元年度産業保安等技術基準策定研究開発等事業（電気用品安全法の特定製品安全性等調査確認）,42789859,経済産業省,,9011005003367
2019-04-01T00:00:00+09:00,ＩＰ無線機（賃貸借）,1057536,経済産業省,,9011101010168
2020-01-23T00:00:00+09:00,セキュリティ製品の有効性検証,14300000,情報処理推進機構,,9011101056970
2018-09-03T00:00:00+09:00,医療機関におけるＵＤＩ利活用推進事業に係るモデル病院調査一式,7776000,厚生労働省,,9011105006212
2019-10-10T00:00:00+09:00,ＮＥＤＯ先導研究プログラムエネルギー・環境新技術先導研究プログラム車載用蓄電池の内部状態解析に基づく診断技術の研究開発,11121000,国立研究開発法人新エネルギー・産業技術総合開発機構,,9013205001282
2019-04-01T00:00:00+09:00,平成３１年度中小商工業等統計調査事務地方公共団体委託費,259023000,経済産業省,"福井県,島根県,徳島県,佐賀県,北海道,新潟県,三重県,鹿児島県,埼玉県,石川県,和歌山県,東京都,秋田県,茨城県,滋賀県,奈良県,高知県,福岡県,長崎県,宮崎県,岩手県,宮城県,栃木県,群馬県,千葉県,岐阜県,兵庫県,愛媛県,大分県,青森県,山形県,静岡県,大阪府,広島県,沖縄県,福島県,山梨県,岡山県,神奈川県,富山県,愛知県,京都府,鳥取県,山口県,香川県,熊本県",1000020200000
2019-04-01T00:00:00+09:00,平成３１年度中小商工業等統計調査事務地方公共団体委託費,259023000,経済産業省,"福井県,長野県,徳島県,佐賀県,北海道,新潟県,三重県,鹿児島県,埼玉県,石川県,和歌山県,東京都,秋田県,茨城県,滋賀県,奈良県,高知県,福岡県,長崎県,宮崎県,岩手県,宮城県,栃木県,群馬県,千葉県,岐阜県,兵庫県,愛媛県,大分県,青森県,山形県,静岡県,大阪府,広島県,沖縄県,福島県,山梨県,岡山県,神奈川県,富山県,愛知県,京都府,鳥取県,山口県,香川県,熊本県",1000020320005
2019-04-01T00:00:00+09:00,平成３１年度中小商工業等統計調査事務地方公共団体委託費,259023000,経済産業省,"福井県,長野県,島根県,徳島県,北海道,新潟県,三重県,鹿児島県,埼玉県,石川県,和歌山県,東京都,秋田県,茨城県,滋賀県,奈良県,高知県,福岡県,長崎県,宮崎県,岩手県,宮城県,栃木県,群馬県,千葉県,岐阜県,兵庫県,愛媛県,大分県,青森県,山形県,静岡県,大阪府,広島県,沖縄県,福島県,山梨県,岡山県,神奈川県,富山県,愛知県,京都府,鳥取県,山口県,香川県,熊本県",1000020410004
2019-04-01T00:00:00+09:00,平成３１年度追録（海外派遣・留学・視察総覧　外１３件）の売買,6361994,経済産業省,,1010001100425
2020-02-14T00:00:00+09:00,公電各省配付システム用プリンタ機器　一式,6615840,経済産業省,,1010001110829
2019-05-30T00:00:00+09:00,令和元年度産業保安等技術基準策定研究開発等事業（産業保安表彰等）,23100000,経済産業省,,1010001143390
2019-09-30T00:00:00+09:00,令和元年度産業経済研究委託事業（経済産業政策・第四次産業革命関係調査事業費（第四次産業革命時代におけるヘルスケアサービス提供分野のデジタルトランスフォーメーションに関する調査研究））,14915549,経済産業省,,1010001143390
2019-07-31T00:00:00+09:00,令和元年度産業経済研究委託事業（外国人留学生の国内就職促進に係る調査）,8800000,経済産業省,,1010005005059
2019-06-26T00:00:00+09:00,令和元年度産業財産権制度問題調査研究「日米及び日欧間の進歩性等の判断のかい離事例に関する調査研究」　　一式,29491000,特許庁,,1010005016691
2019-07-17T00:00:00+09:00,令和元年度産業財産権制度問題調査研究「経営に資する知財マネジメントの実態に関する調査研究」　　一式,26950000,特許庁,,1010005016691
2019-08-08T00:00:00+09:00,令和元年度内外一体の経済成長戦略構築にかかる国際経済調査事業（諸外国等における経済の電子化を踏まえた課税の動向等に係る調査研究事業）,27687000,経済産業省,,1010405003760
2019-06-11T00:00:00+09:00,令和元年度中小企業・小規模事業者海外展開戦略支援事業（進出先国税制等広報事業）,65450000,経済産業省,,1010405003760
2019-04-01T00:00:00+09:00,平成３１年度産業経済研究委託事業（電子署名・認証業務利用促進事業（特定認証業務に関する相談業務））,13953045,経済産業省,,1010405009403
2019-04-01T00:00:00+09:00,次期旅費等内部管理業務共通システムの改修・移行業務（国庫債務負担行為に係るもの）,1355695000,経済産業省,,1020001071491
2019-07-17T00:00:00+09:00,令和元年度内外一体の経済成長戦略構築にかかる国際経済調査事業（ＳＤＧｓ経営の海外展開及び地域企業へのＳＤＧｓ経営の普及啓発等のための調査研究）,18147250,経済産業省,,2010001029085
2019-04-01T00:00:00+09:00,平成３１年度学びと社会の連携促進事業（「未来の教室」（学びの場）創出事業）,1003814900,経済産業省,,2010001029085
2019-04-01T00:00:00+09:00,旅費等内部管理業務共通システム用機器及びソフトウェア　一式,54351060,経済産業省,,2010001033475
2019-07-08T00:00:00+09:00,先行技術調査支援システム実用化に向けた実証的研究事業の導入に係るサーバ　一式,78612346,特許庁,"株式会社日立製作所",2010001033475
2019-04-01T00:00:00+09:00,平成３１年度通訳業務,97200,経済産業省,,2012402022775
2019-04-01T00:00:00+09:00,平成３１年度地球温暖化・資源循環対策等に資する調査委託費（地球温暖化問題を巡る国際動向調査（温暖化抑制に係る取組指針の科学的根拠について））,55468103,経済産業省,,2130005012678
2019-04-01T00:00:00+09:00,ＮＥＥＤＳ－ＦｉｎａｎｃｉａｌＱＵＥＳＴ及びＥｖｉｅｗｓの利用,11379600,経済産業省,,3010001033086
2019-07-02T00:00:00+09:00,令和元年度地球温暖化・資源循環対策等に資する調査委託費（アジアにおける資源循環関連制度構築に向けた調査）,14275360,経済産業省,,3010401011971
2019-04-01T00:00:00+09:00,インターネットサイトＣＨＥＭｎｅｔＢＡＳＥの利用　一式,1002800,特許庁,,3120001061472
2019-04-01T00:00:00+09:00,平成３１年度商工業統計調査事務地方公共団体委託費,87320000,経済産業省,"群馬県,千葉県,静岡県,宮城県,山形県,鳥取県,愛媛県,青森県,福島県,福井県,三重県,滋賀県,島根県,岡山県,徳島県,長崎県,宮崎県,鹿児島県,山梨県,愛知県,京都府,奈良県,熊本県,大分県,香川県,埼玉県,広島県,福岡県,秋田県,栃木県,神奈川県,長野県,大阪府,兵庫県,山口県,高知県,沖縄県,北海道,茨城県,東京都,岐阜県,新潟県,富山県,石川県,和歌山県,佐賀県",4000020030007
2019-04-01T00:00:00+09:00,平成３１年度商工業統計調査事務地方公共団体委託費,87320000,経済産業省,"岩手県,群馬県,静岡県,宮城県,山形県,鳥取県,愛媛県,青森県,福島県,福井県,三重県,滋賀県,島根県,岡山県,徳島県,長崎県,宮崎県,鹿児島県,山梨県,愛知県,京都府,奈良県,熊本県,大分県,香川県,埼玉県,広島県,福岡県,秋田県,栃木県,神奈川県,長野県,大阪府,兵庫県,山口県,高知県,沖縄県,北海道,茨城県,東京都,岐阜県,新潟県,富山県,石川県,和歌山県,佐賀県",4000020120006
2019-04-01T00:00:00+09:00,平成３１年度中小商工業等統計調査事務地方公共団体委託費,259023000,経済産業省,"長野県,島根県,徳島県,佐賀県,北海道,新潟県,三重県,鹿児島県,埼玉県,石川県,和歌山県,東京都,秋田県,茨城県,滋賀県,奈良県,高知県,福岡県,長崎県,宮崎県,岩手県,宮城県,栃木県,群馬県,千葉県,岐阜県,兵庫県,愛媛県,大分県,青森県,山形県,静岡県,大阪府,広島県,沖縄県,福島県,山梨県,岡山県,神奈川県,富山県,愛知県,京都府,鳥取県,山口県,香川県,熊本県",4000020180009
2019-04-01T00:00:00+09:00,平成３１年度中小商工業等統計調査事務地方公共団体委託費,259023000,経済産業省,"福井県,長野県,島根県,佐賀県,北海道,新潟県,三重県,鹿児島県,埼玉県,石川県,和歌山県,東京都,秋田県,茨城県,滋賀県,奈良県,高知県,福岡県,長崎県,宮崎県,岩手県,宮城県,栃木県,群馬県,千葉県,岐阜県,兵庫県,愛媛県,大分県,青森県,山形県,静岡県,大阪府,広島県,沖縄県,福島県,山梨県,岡山県,神奈川県,富山県,愛知県,京都府,鳥取県,山口県,香川県,熊本県",4000020360007
2019-09-30T00:00:00+09:00,令和元年度内外一体の経済成長戦略構築にかかる国際経済調査事業（我が国のＰＨＲの利活用・事業創出の推進に向けた調査）,9900000,経済産業省,,4010001054032
2019-08-05T00:00:00+09:00,令和元年度内外一体の経済成長戦略構築にかかる国際経済調査事業（新興国におけるスマートシティ開発のニーズ及び日本の自治体・企業の参画可能性に係る調査研究,15319370,経済産業省,,4010001054032
2019-04-01T00:00:00+09:00,平成３１年度安全保障貿易管理対策事業（安全保障貿易自主管理促進事業）,44999900,経済産業省,,4010001054032
2019-04-01T00:00:00+09:00,平成３１年度省エネルギー等に関する国際標準の獲得・普及促進事業委託費（省エネルギー等国際標準開発（国際標準分野））,1104217000,経済産業省,,4010001054032
2019-07-12T00:00:00+09:00,令和元年度産業財産権制度問題調査研究「オープンイノベーションを促進するための支援人材育成及び契約ガイドラインに関する調査研究」　　一式,19250000,特許庁,,4010001054032
2019-05-21T00:00:00+09:00,令和元年度我が国におけるデータ駆動型社会に係る基盤整備（ＡＩ戦略の情報発信にかかる調査研究）,19983803,経済産業省,,4010401048922
2019-08-30T00:00:00+09:00,令和元年度電気施設等の保安規制の合理化検討に係る調査（電気工事業者情報の地方自治体との共有に関する検討調査）,21868000,経済産業省,,4010401058525
2019-04-01T00:00:00+09:00,平成３１年度休廃止鉱山における坑廃水処理の高度化調査研究事業,179880609,経済産業省,,4010405009573
2019-04-15T00:00:00+09:00,特実意匠文献サーバ一式の更改に係るハードウェア等賃貸借及び保守等業務　一式,1699898200,特許庁,"東芝デジタルソリューションズ株式会社",4010701026198
2019-04-15T00:00:00+09:00,意匠検索サーバ一式の更改に係るハードウェア等賃貸借及び保守等業務　一式,652491400,特許庁,"東芝デジタルソリューションズ株式会社",4010701026198
2019-04-01T00:00:00+09:00,国際光工学会雑誌を収録したデータベースを有するインターネットサイトの利用　一式,2324002,特許庁,,4011101005131
2019-10-28T00:00:00+09:00,医学・薬学・医療機器雑誌（海外）を収録したデータベースを有するインターネットサイトの利用　一式,15103604,特許庁,,4011101005131
2019-08-06T00:00:00+09:00,令和元年度化学物質安全対策（水銀管理に関する国際動向調査等）,24350260,経済産業省,,4013301013616
2019-04-19T00:00:00+09:00,平成３１年度化学物質安全対策（リスクベースの視点から見たレスポンシブル・ケアのあり方）,6440588,経済産業省,,4120905002554
2019-04-01T00:00:00+09:00,平成３１年度省エネルギー等に関する国際標準の獲得・普及促進事業委託費（省エネルギー等国際標準共同研究開発・普及基盤構築：ＳｉＣエピ欠陥非破壊検査方法に関する国際標準化及び認証事業化検討による普及基盤構築）,99995725,経済産業省,"国立研究開発法人産業技術総合研究所",5010001051549
