date,ndiff,ncreated,nterminated,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47
2021-08-27,2364,427,218,3,3,0,4,0,1,2,6,1,2,34,25,142,28,1,3,1,0,2,2,4,4,15,1,4,7,41,15,2,1,0,0,4,7,2,1,0,4,0,30,1,2,4,5,1,5,7,4,2,1,10,1,1,4,3,2,3,13,6,52,20,4,1,1,2,1,6,3,5,7,2,1,3,13,6,2,3,3,1,7,7,0,3,0,1,1,6,0,2,2,0,2,0,1
2021-08-30,2379,408,222,24,1,4,3,1,1,2,5,7,5,32,14,125,31,2,1,3,0,0,1,4,5,22,2,1,9,39,11,0,1,0,1,1,2,0,2,2,1,0,19,1,0,4,1,2,6,10,7,1,2,8,0,1,3,3,9,3,11,3,71,12,3,2,2,0,9,1,2,0,9,2,2,8,10,2,1,1,0,2,4,12,1,0,0,1,1,3,1,3,2,1,0,1,2
2021-08-31,2364,405,198,6,2,0,9,2,0,2,4,0,1,19,6,157,19,4,0,4,1,4,3,5,5,5,1,3,7,39,14,4,4,1,1,7,6,3,4,3,3,3,23,4,3,4,4,0,0,4,3,1,1,2,0,1,3,2,0,2,10,8,60,19,3,2,1,1,1,4,1,4,10,2,1,6,9,2,2,2,0,2,1,12,3,0,1,0,4,5,1,1,2,0,0,2,1
2021-09-01,2496,430,223,18,1,4,3,0,2,4,6,6,1,30,25,115,30,0,2,0,1,1,2,3,5,27,4,4,4,52,8,5,5,1,0,5,8,2,1,2,3,2,18,0,4,5,0,4,2,5,3,0,2,3,1,0,3,1,3,3,18,5,50,24,2,1,0,0,2,3,8,6,20,2,0,3,17,7,4,1,0,0,8,9,1,0,0,1,2,5,1,0,1,1,1,0,1
2021-09-02,2564,601,228,29,1,4,9,0,2,2,2,5,4,30,24,136,29,5,3,1,5,2,6,19,31,25,3,11,10,60,18,3,10,0,4,13,17,5,1,10,8,1,6,1,6,4,5,7,7,7,5,2,3,8,0,1,1,6,2,0,13,6,73,14,1,4,2,3,0,5,2,7,8,2,1,3,16,6,1,1,0,0,1,9,0,0,3,2,1,6,2,0,2,0,1,4,1
2021-09-03,2989,845,191,30,4,3,26,7,2,8,8,1,2,23,21,188,44,9,7,9,5,3,15,21,24,57,13,13,15,73,31,3,11,8,4,18,31,9,0,9,9,6,13,0,7,22,2,3,10,18,12,1,2,1,2,0,2,3,2,0,10,9,35,8,2,2,1,1,1,3,3,6,5,4,1,2,22,7,0,1,1,2,5,9,2,1,1,4,0,7,2,2,1,0,2,1,3
2021-09-06,3340,1087,224,14,1,2,11,5,8,8,31,3,24,90,66,278,51,14,3,6,8,14,6,12,29,45,5,3,33,105,47,5,2,2,0,8,15,7,8,11,4,1,39,4,10,13,5,4,14,13,6,0,2,6,3,1,2,3,5,4,9,3,58,7,3,4,1,0,3,2,1,8,14,6,3,3,19,5,0,0,2,2,1,6,0,0,2,2,0,12,0,2,6,0,3,5,0
2021-09-07,2942,775,243,19,2,2,8,1,2,4,13,12,13,18,40,218,71,5,1,7,2,2,6,2,15,52,5,4,8,95,40,8,1,2,0,4,8,3,3,1,2,3,34,5,1,2,9,7,8,7,13,0,2,3,1,2,2,4,1,12,4,11,50,13,5,2,3,0,3,4,4,4,17,1,0,2,25,6,1,2,2,2,7,2,0,1,3,3,1,4,2,4,5,1,4,3,2
2021-09-08,2951,610,221,19,5,0,5,1,1,1,3,8,4,37,16,202,44,2,9,7,0,2,2,2,3,37,3,0,14,48,16,6,2,0,1,2,4,8,8,4,1,2,52,4,4,2,2,1,0,16,12,3,1,4,2,1,7,1,3,1,9,7,47,12,2,2,2,1,1,5,3,8,25,4,1,3,13,4,1,0,2,1,2,2,0,2,0,2,3,10,2,4,2,2,0,0,2
2021-09-09,2454,415,236,15,0,0,1,1,2,4,3,5,3,9,20,135,21,3,2,3,0,0,6,5,5,19,2,2,13,47,10,1,2,1,0,1,7,6,3,2,2,3,33,0,5,4,2,0,3,4,8,2,1,3,2,0,0,2,4,6,8,16,54,13,5,0,1,1,0,2,4,13,16,3,2,4,11,11,2,2,4,2,5,4,1,2,3,3,1,7,0,2,2,0,0,2,2
2021-09-10,2695,452,273,25,2,1,3,3,0,1,4,0,6,15,20,148,31,1,3,0,2,0,0,0,4,20,3,3,3,56,12,3,1,0,0,3,3,1,0,1,6,1,45,3,1,6,1,4,2,5,12,1,2,8,3,4,2,2,3,6,15,12,65,10,5,5,2,3,4,3,3,7,17,2,2,12,21,3,1,3,0,1,2,3,2,2,7,1,0,5,1,3,1,1,4,2,0
2021-09-13,2695,466,273,25,0,3,2,2,3,3,2,7,0,20,18,162,22,7,3,4,0,0,3,12,10,21,5,4,7,23,11,2,3,1,0,7,12,2,2,1,3,2,26,1,0,0,7,0,8,10,5,10,4,3,2,0,1,2,1,4,19,8,64,13,7,2,1,0,2,1,3,4,27,4,2,6,22,11,1,0,3,1,4,8,2,1,1,1,0,7,1,5,3,1,1,2,3
2021-09-14,2691,567,241,32,0,2,6,5,2,7,11,6,2,14,13,167,44,3,3,2,8,5,8,8,15,16,5,4,12,48,14,3,4,2,2,4,11,2,0,3,7,0,29,0,15,9,8,1,3,2,6,2,1,4,5,2,9,6,4,10,15,6,57,14,2,4,5,1,0,2,3,7,19,3,3,1,8,5,3,1,0,1,2,1,6,2,0,1,1,3,4,4,2,4,2,0,0
2021-09-15,2695,627,227,30,3,4,14,2,1,13,14,10,8,28,15,150,27,6,2,4,2,4,3,7,3,37,3,0,13,71,26,8,3,4,1,1,11,10,2,5,3,1,44,2,4,2,0,6,10,10,8,2,0,0,1,0,5,2,4,2,2,8,59,13,3,3,4,0,0,3,2,6,13,5,1,8,12,8,1,2,0,2,2,4,0,5,2,6,0,17,0,3,4,1,1,3,0
2021-09-16,2489,509,215,9,2,1,1,1,1,4,5,3,8,28,35,130,42,1,4,0,3,1,5,4,8,26,0,4,7,79,16,5,1,2,1,3,10,2,5,3,1,0,32,4,0,4,0,2,0,6,9,2,1,1,1,2,2,0,1,0,2,10,58,17,4,1,5,1,0,11,4,6,17,3,2,4,13,4,0,0,2,0,3,2,1,0,4,0,0,8,4,0,5,1,3,1,0
2021-09-17,2489,479,206,17,3,3,2,2,2,0,19,3,11,8,17,166,26,4,0,1,0,1,0,9,8,25,3,6,2,30,18,3,3,0,1,5,9,3,7,3,2,2,23,2,2,5,6,2,4,10,6,0,1,4,2,0,4,9,2,2,4,11,46,12,5,4,1,0,0,3,3,8,13,2,0,6,15,4,1,0,0,2,5,2,3,1,3,0,0,7,1,3,3,0,1,3,4
2021-09-21,2364,511,214,18,1,2,9,4,1,0,6,8,5,34,12,140,47,4,3,1,3,2,11,9,9,34,5,5,5,45,7,6,0,1,2,5,9,3,0,5,1,4,22,1,2,2,3,6,0,6,8,0,4,2,1,3,4,1,3,2,8,6,55,18,6,0,1,2,0,2,9,4,5,1,0,3,15,7,2,1,0,1,2,7,0,0,1,4,1,5,5,2,5,2,1,2,3
2021-09-22,2506,564,261,26,5,1,2,1,2,6,9,1,6,33,21,179,49,7,5,3,0,4,4,4,6,13,7,5,12,71,19,8,0,1,2,2,4,4,4,4,2,0,13,1,2,1,5,2,5,3,11,1,1,6,1,2,4,5,4,4,23,4,67,12,7,0,1,0,3,4,3,6,10,3,5,5,21,5,2,0,2,0,3,4,1,1,0,2,1,15,1,2,2,2,1,1,3
2021-09-24,2452,454,197,7,8,2,6,2,2,3,4,5,4,23,19,118,40,4,2,0,0,2,5,6,6,33,3,3,5,33,26,6,3,3,2,8,4,3,1,3,5,0,15,2,2,1,6,2,6,11,8,0,0,5,0,4,4,6,1,6,5,5,38,10,2,6,3,3,2,5,3,7,18,2,1,6,18,4,1,2,1,0,1,3,1,1,0,1,0,8,0,1,1,0,0,3,1
2021-09-27,2438,500,192,20,1,2,3,1,3,2,9,7,1,25,15,158,20,3,1,2,2,7,4,12,8,17,5,6,7,66,10,4,2,2,3,2,8,0,1,4,4,0,19,2,3,6,2,0,5,16,8,2,0,3,0,3,0,4,4,1,10,4,42,14,1,4,1,3,1,2,7,5,13,0,4,7,8,8,0,1,1,4,2,5,1,2,1,0,0,10,0,0,1,0,2,1,2
2021-09-28,2678,608,217,20,2,2,4,1,0,7,6,5,3,24,42,171,46,1,4,4,0,1,7,3,8,30,6,5,16,69,21,6,2,0,1,6,11,5,2,2,1,0,36,1,5,2,3,0,8,7,5,1,1,3,0,4,4,0,1,4,19,8,51,14,2,1,2,2,0,2,3,8,12,1,1,5,15,4,0,4,5,0,2,7,2,1,1,2,0,10,0,0,2,1,0,1,6
2021-09-29,2666,525,236,7,2,3,4,4,0,0,9,11,1,27,13,177,30,5,0,5,0,3,2,5,7,24,2,6,10,49,25,4,1,1,1,9,7,2,2,3,7,1,24,2,2,11,2,2,6,7,9,4,2,1,0,2,3,2,7,3,6,12,52,27,7,0,3,2,3,3,4,11,20,2,2,4,14,5,1,1,2,3,1,1,0,1,0,3,4,5,1,0,0,1,1,1,0
2021-09-30,2377,618,191,25,2,4,11,1,3,9,11,0,7,14,15,153,44,4,1,3,7,3,11,16,13,21,5,12,13,82,11,4,1,0,2,10,14,6,1,5,2,7,41,0,5,4,4,1,6,2,7,2,2,0,0,3,4,2,5,1,8,9,57,10,1,0,1,0,2,2,4,3,8,1,2,1,15,5,1,1,1,1,5,7,2,2,1,1,0,6,0,1,0,2,1,2,1
2021-10-01,2641,592,206,19,1,2,8,1,1,2,4,6,2,32,19,196,35,5,5,3,3,9,4,3,10,24,3,1,17,51,21,4,5,2,3,9,6,5,0,3,5,6,19,3,2,3,4,2,6,18,10,2,0,7,2,0,5,4,1,1,12,10,40,12,5,2,2,3,2,1,1,4,13,2,1,0,16,10,6,2,0,0,2,1,2,4,0,5,2,7,1,0,2,2,0,1,1
2021-10-04,2827,817,223,31,3,11,21,1,3,1,3,9,12,12,27,154,55,6,3,2,3,5,2,28,37,59,13,18,20,64,40,6,9,0,3,20,23,4,1,8,8,8,21,1,10,14,5,13,13,7,8,5,2,1,1,3,1,2,0,3,2,3,48,11,4,2,2,0,2,4,5,10,22,2,1,5,20,7,1,1,0,0,2,7,1,2,6,1,0,11,1,4,1,1,1,4,3
2021-10-05,3024,952,255,40,1,6,17,7,8,5,6,9,24,24,29,179,52,7,2,22,0,6,15,25,44,72,11,9,13,62,21,5,0,6,12,22,21,5,4,9,8,1,56,1,15,19,18,11,17,6,20,5,0,3,3,1,2,2,4,4,13,7,66,17,6,2,0,0,0,4,1,11,9,3,3,2,24,7,0,0,0,1,2,5,0,0,2,3,3,4,0,1,5,4,4,1,1
2021-10-06,3567,1341,230,35,13,3,14,5,9,7,36,15,5,92,83,316,94,17,3,1,12,8,20,23,16,55,24,14,45,143,40,15,5,4,3,7,26,17,2,8,14,2,31,3,9,5,3,10,12,17,19,1,2,6,1,1,3,3,2,4,6,2,47,11,1,1,7,2,4,7,8,7,17,4,2,2,13,4,0,2,1,3,6,2,0,3,3,1,1,9,2,2,1,1,4,2,0
2021-10-07,2961,1024,196,36,2,2,20,2,4,9,23,12,6,54,20,309,57,5,9,7,2,5,10,5,20,59,6,12,41,117,50,10,1,2,0,10,2,9,0,6,1,0,19,14,2,12,7,6,3,16,4,1,2,2,2,1,3,1,0,7,5,5,48,7,4,0,2,2,2,4,8,4,18,4,2,4,15,5,0,0,0,2,2,6,2,3,1,4,1,5,0,1,0,0,0,6,1
2021-10-08,3212,772,280,43,4,1,15,2,2,5,7,3,5,29,22,221,45,2,3,4,2,5,7,4,12,66,1,2,12,67,60,11,0,1,1,5,7,4,17,1,0,2,35,9,3,7,3,3,3,9,6,4,3,8,0,2,6,2,5,6,11,12,77,13,5,3,1,2,4,4,2,10,19,4,4,6,9,8,1,1,1,0,4,1,1,2,3,3,1,15,1,1,6,0,1,2,0
2021-10-11,3007,646,299,9,1,2,9,0,3,3,8,10,5,27,43,181,38,5,5,0,3,1,7,5,12,40,4,3,5,56,46,1,1,3,0,14,6,2,1,2,4,3,43,3,6,5,3,1,5,12,11,2,1,8,2,1,8,1,4,6,13,10,65,19,6,7,0,2,0,11,5,8,18,4,3,8,23,12,3,1,0,0,2,5,3,1,3,1,0,6,0,5,2,1,0,4,4
2021-10-12,3053,624,253,13,1,5,8,2,1,6,12,10,5,14,26,182,28,2,3,1,9,0,6,10,12,50,2,6,16,61,16,3,6,1,4,5,14,6,4,6,2,3,30,2,11,1,6,3,2,8,17,1,3,5,1,5,4,6,6,0,10,4,53,14,2,5,2,1,0,3,6,5,19,1,2,0,23,10,2,0,1,0,1,7,2,0,4,1,0,11,1,2,4,4,1,2,2
2021-10-13,2949,691,249,23,2,0,11,0,5,11,13,1,9,52,34,205,52,4,2,5,1,12,5,4,7,35,3,2,6,56,32,10,1,1,0,1,3,3,0,3,1,0,38,2,1,7,7,3,5,12,15,2,1,3,1,2,1,1,0,9,10,7,69,14,4,4,0,2,2,1,2,7,15,1,1,3,22,8,1,0,0,2,7,2,1,1,2,1,1,7,0,1,5,6,3,1,1
2021-10-14,2574,481,269,16,0,0,3,2,2,2,2,6,1,26,30,142,26,9,2,0,0,2,3,3,8,22,8,0,5,51,25,4,5,0,1,8,4,1,2,2,2,1,30,2,0,5,4,2,4,4,11,4,0,5,0,3,2,7,3,3,6,6,58,23,2,1,1,3,1,7,3,9,21,2,2,5,22,11,1,2,0,2,5,5,1,5,2,0,0,9,0,0,3,1,3,8,1
2021-10-15,2664,472,212,8,1,0,2,4,3,2,4,16,4,25,12,155,33,4,7,4,1,1,1,9,9,23,5,9,6,56,15,2,6,0,0,5,4,2,0,1,1,1,14,1,2,3,3,1,5,1,13,0,2,4,0,2,3,7,5,1,12,6,47,9,3,1,2,2,0,3,1,3,17,3,0,5,25,9,0,0,0,2,3,3,1,1,1,1,0,6,0,2,0,0,1,1,5
2021-10-18,2670,517,253,28,0,1,0,0,2,8,8,2,5,32,15,176,31,3,0,4,4,3,3,7,7,22,6,4,11,34,24,4,1,1,1,3,5,5,0,5,2,0,19,3,5,5,3,5,8,2,10,0,1,4,0,3,3,1,2,2,40,6,59,15,7,2,0,1,1,2,7,9,14,2,0,5,13,9,2,1,0,1,5,5,1,0,2,2,1,3,3,1,1,0,2,3,2
2021-10-19,2603,493,200,10,3,2,7,2,2,1,9,0,3,31,21,133,45,4,1,2,2,4,15,2,10,28,2,5,5,55,18,8,3,1,0,2,7,2,0,3,2,0,18,1,5,3,5,1,0,10,6,3,1,5,0,4,3,4,0,2,5,7,51,16,7,1,1,3,2,3,5,7,7,4,0,1,16,4,0,0,0,0,1,4,1,2,1,3,0,12,1,2,1,0,3,1,0
2021-10-20,2645,425,279,9,1,2,4,0,1,4,8,6,3,24,19,139,24,5,1,5,0,0,0,2,12,26,1,1,6,33,18,3,2,0,1,1,4,1,0,2,1,1,27,1,1,11,2,1,2,7,12,3,2,4,0,0,7,4,2,2,14,4,65,14,7,2,0,2,0,6,5,6,15,4,2,4,26,16,2,0,8,1,6,4,0,3,0,3,1,5,1,2,2,3,3,3,4
